object_id,koi_period,koi_prad,koi_teq,koi_insol,koi_disposition,category,score,flags,disposition_compare,is_disposition_match,color_hint
K01821.01,9.97682072,2.85,802.0,97.85,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K01844.01,61.4913415,4.57,323.0,2.58,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07849.01,5.0263815,0.84,1065.0,305.12,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K01993.01,16.00351679,18.01,586.0,27.83,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01865.01,1.86390886,77.99,2902.0,16718.87,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02320.01,2.03743942,0.82,1299.0,673.94,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02322.01,332.74984,2.55,302.0,1.97,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02326.01,45.60304785,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02330.01,2.4681015,1.22,1244.0,564.74,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02334.01,12.53449909,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02349.01,215.15218,1.36,287.0,1.61,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02359.01,3.17275711,1.27,966.0,206.07,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02158.02,6.68231249,2.09,1350.0,784.74,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03969.01,0.73619448,1.84,2268.0,6218.56,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03970.01,10.18670759,0.95,477.0,12.29,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03971.01,365.994154,2.87,263.0,1.14,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03972.01,0.54028956,21.45,2279.0,6356.72,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01673.01,2.49047468,1.53,1413.0,940.43,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01674.01,2.17257963,13.55,1518.0,1254.52,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01676.01,3.307669761,3.87,1840.0,2710.89,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01678.01,3.183961388,37.22,1615.0,1608.01,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07837.01,48.507991,2.06,511.0,16.08,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01679.01,0.759766456,29.02,2128.0,4850.1,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01785.01,1.219034472,9.82,1845.0,2734.97,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01954.01,7.37339245,13.73,1098.0,344.18,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01742.01,4.70847097,19.58,1202.0,493.0,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01806.01,2.404556949,4.69,1958.0,3474.41,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07850.01,66.119119,3.0,452.0,9.89,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K01745.01,0.982090079,29.95,1568.0,1426.18,CANDIDATE,anomalous_signal,0.7,FLAG_ANOMALOUS_DEPTH,mismatch,False,red
K01795.01,2.972047661,24.74,881.0,142.01,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02362.01,2.237180102,1.75,1134.0,390.02,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02391.01,0.93374232,18.29,1638.0,1706.25,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02394.01,134.76309,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02396.01,0.495434094,1.57,2151.0,5088.43,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02446.01,8.48031302,2.74,1510.0,1229.56,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00439.02,5.40534383,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02480.01,0.66682654,1.49,1183.0,461.55,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03973.01,0.882131829,8.13,1963.0,3510.31,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03974.01,0.489682339,37.47,1251.0,580.4,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03975.01,364.751562,2.89,166.0,0.18,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03976.01,2.189098506,29.7,1288.0,651.22,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03977.01,0.7088055,41.08,2035.0,4055.22,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01682.01,88.821421,234.99,634.0,38.13,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01689.01,1.507761203,31.77,1301.0,675.11,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01690.01,1.506019633,1.08,1628.0,1660.03,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07838.01,0.572513875,0.52,1779.0,2365.45,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01691.01,35.14578122,32.5,480.0,12.6,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01694.01,3.690317047,20.23,1280.0,634.09,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01846.01,105.9566815,3.79,324.0,2.59,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K01966.01,2.95600563,0.81,1211.0,509.55,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01796.01,11.80570754,18.48,1153.0,417.85,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07851.01,25.3710555,1.43,779.0,87.17,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01957.01,1.38680229,29.33,2530.0,9703.01,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K01827.01,8.58966893,155.18,4900.0,136317.25,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01823.01,4.468456599,24.81,1081.0,321.94,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02500.01,0.933754669,1.48,2475.0,8881.31,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02502.01,86.79876649,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02515.01,164.5750675,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
